iter	Passed	Remaining
0	13	13199
1	23	11684
2	34	11373
3	46	11457
4	56	11309
5	68	11352
6	81	11621
7	95	11817
8	109	12017
9	121	12048
10	135	12172
11	147	12165
12	160	12166
13	172	12138
14	184	12122
15	197	12176
16	211	12206
17	224	12220
18	236	12218
19	249	12204
20	260	12166
21	273	12142
22	285	12107
23	297	12092
24	311	12141
25	325	12196
26	339	12217
27	351	12207
28	364	12196
29	377	12199
30	389	12187
31	402	12177
32	414	12149
33	427	12146
34	440	12137
35	453	12144
36	467	12173
37	481	12189
38	494	12195
39	509	12220
40	522	12222
41	538	12278
42	551	12284
43	565	12287
44	579	12288
45	592	12297
46	606	12288
47	618	12272
48	630	12242
49	643	12223
50	655	12193
51	667	12165
52	679	12143
53	691	12119
54	704	12099
55	715	12066
56	727	12042
57	740	12019
58	749	11953
59	763	11961
60	776	11955
61	796	12049
62	809	12044
63	822	12034
64	836	12026
65	849	12024
66	862	12017
67	876	12010
68	889	12002
69	902	11994
70	915	11981
71	930	11994
72	945	12003
73	963	12059
74	976	12047
75	990	12043
76	1004	12044
77	1018	12038
78	1033	12043
79	1048	12058
80	1063	12067
81	1077	12057
82	1090	12050
83	1104	12047
84	1117	12033
85	1130	12012
86	1142	11987
87	1155	11972
88	1168	11958
89	1180	11938
90	1193	11925
91	1206	11904
92	1219	11888
93	1231	11870
94	1244	11857
95	1256	11835
96	1269	11816
97	1281	11796
98	1295	11790
99	1309	11782
100	1321	11762
101	1336	11767
102	1349	11756
103	1363	11748
104	1377	11745
105	1391	11739
106	1406	11738
107	1421	11742
108	1438	11757
109	1452	11751
110	1467	11752
111	1481	11743
112	1494	11731
113	1510	11740
114	1525	11742
115	1538	11724
116	1552	11713
117	1566	11708
118	1580	11701
119	1594	11694
120	1608	11681
121	1620	11665
122	1634	11654
123	1647	11641
124	1660	11621
125	1672	11599
126	1686	11592
127	1700	11588
128	1713	11572
129	1726	11555
130	1739	11536
131	1751	11518
132	1764	11503
133	1778	11495
134	1791	11476
135	1803	11458
136	1816	11445
137	1829	11426
138	1842	11410
139	1856	11402
140	1869	11390
141	1882	11373
142	1894	11355
143	1907	11337
144	1919	11321
145	1932	11303
146	1945	11286
147	1957	11268
148	1969	11247
149	1981	11230
150	1994	11213
151	2006	11195
152	2019	11179
153	2032	11165
154	2046	11156
155	2060	11145
156	2075	11142
157	2089	11134
158	2102	11120
159	2114	11102
160	2127	11087
161	2140	11071
162	2152	11054
163	2164	11034
164	2176	11015
165	2188	10997
166	2200	10978
167	2213	10961
168	2227	10954
169	2241	10941
170	2253	10924
171	2266	10908
172	2278	10893
173	2291	10877
174	2303	10861
175	2316	10847
176	2331	10841
177	2345	10830
178	2359	10821
179	2374	10815
180	2390	10814
181	2422	10887
182	2436	10878
183	2454	10886
184	2469	10877
185	2483	10869
186	2497	10857
187	2510	10841
188	2524	10831
189	2537	10818
190	2551	10805
191	2564	10790
192	2576	10774
193	2590	10763
194	2603	10749
195	2623	10761
196	2636	10744
197	2650	10734
198	2662	10718
199	2675	10701
200	2687	10682
201	2699	10663
202	2711	10644
203	2723	10628
204	2736	10610
205	2748	10595
206	2760	10576
207	2773	10561
208	2786	10547
209	2801	10538
210	2814	10524
211	2827	10509
212	2840	10493
213	2852	10477
214	2865	10462
215	2877	10445
216	2890	10429
217	2903	10414
218	2916	10400
219	2928	10383
220	2941	10368
221	2953	10350
222	2968	10341
223	2981	10329
224	2995	10318
225	3008	10304
226	3020	10286
227	3035	10276
228	3047	10261
229	3060	10246
230	3072	10229
231	3085	10212
232	3098	10199
233	3112	10188
234	3126	10176
235	3139	10163
236	3153	10152
237	3166	10139
238	3180	10125
239	3193	10112
240	3206	10097
241	3218	10081
242	3230	10063
243	3242	10044
244	3254	10028
245	3266	10012
246	3279	9996
247	3291	9980
248	3303	9964
249	3315	9946
250	3327	9928
251	3340	9915
252	3354	9902
253	3366	9887
254	3378	9871
255	3390	9853
256	3402	9838
257	3415	9823
258	3428	9807
259	3439	9789
260	3451	9772
261	3463	9756
262	3475	9740
263	3488	9725
264	3501	9710
265	3514	9697
266	3527	9683
267	3537	9663
268	3551	9650
269	3564	9636
270	3573	9613
271	3585	9596
272	3595	9574
273	3604	9551
274	3618	9538
275	3632	9527
276	3642	9506
277	3655	9492
278	3667	9477
279	3679	9460
280	3691	9445
281	3706	9437
282	3720	9425
283	3730	9405
284	3744	9392
285	3756	9377
286	3768	9362
287	3780	9346
288	3792	9330
289	3802	9308
290	3814	9293
291	3826	9277
292	3837	9259
293	3849	9244
294	3859	9223
295	3869	9204
296	3882	9189
297	3896	9178
298	3909	9165
299	3922	9152
300	3935	9139
301	3947	9124
302	3959	9107
303	3971	9091
304	3982	9075
305	3994	9060
306	4006	9044
307	4019	9029
308	4031	9014
309	4043	8999
310	4054	8982
311	4068	8971
312	4083	8962
313	4097	8950
314	4110	8937
315	4122	8923
316	4135	8910
317	4149	8898
318	4165	8892
319	4182	8888
320	4196	8876
321	4208	8861
322	4224	8855
323	4239	8844
324	4253	8834
325	4266	8821
326	4280	8810
327	4295	8799
328	4308	8787
329	4321	8773
330	4334	8759
331	4345	8743
332	4358	8729
333	4370	8713
334	4382	8699
335	4395	8685
336	4407	8670
337	4421	8659
338	4434	8647
339	4447	8632
340	4460	8619
341	4472	8604
342	4484	8590
343	4496	8575
344	4509	8561
345	4521	8547
346	4534	8533
347	4547	8519
348	4560	8506
349	4572	8491
350	4585	8478
351	4597	8462
352	4610	8449
353	4625	8440
354	4637	8426
355	4650	8413
